num,"time","in_fuel","out_power"
2660,"09.02.2018 23:19","14,579","285,007"
2670,"09.02.2018 23:29","14,5491","285,961"
2680,"09.02.2018 23:39","14,5318","285,938"
2690,"09.02.2018 23:49","14,5629","284,863"
2700,"09.02.2018 23:59","14,6398","287,036"
2710,"10.02.2018 0:09","13,9967","273,023"
2720,"10.02.2018 0:19","13,2112","253,711"
2730,"10.02.2018 0:29","12,3837","232,943"
2740,"10.02.2018 0:39","11,6031","213,273"
2750,"10.02.2018 0:49","10,7795","193,889"
2760,"10.02.2018 0:59","10,2091","177,609"
2770,"10.02.2018 1:09","10,1098","175,365"
2780,"10.02.2018 1:19","9,64167","162,832"
2790,"10.02.2018 1:29","9,21504","149,154"
2800,"10.02.2018 1:39","8,70226","138,077"
2810,"10.02.2018 1:49","8,20654","124,638"
2820,"10.02.2018 1:59","8,07463","119,863"
2830,"10.02.2018 2:09","8,06026","120,699"
2840,"10.02.2018 2:19","8,13123","120,532"
2850,"10.02.2018 2:29","8,04323","120,365"
2860,"10.02.2018 2:39","8,1031","121,701"
2870,"10.02.2018 2:49","8,05162","119,72"
2880,"10.02.2018 2:59","8,06476","119,648"
2890,"10.02.2018 3:09","8,01893","119,816"
2900,"10.02.2018 3:19","8,07578","120,89"
2910,"10.02.2018 3:29","8,02735","119,457"
2920,"10.02.2018 3:39","8,04975","119,362"
2930,"10.02.2018 3:49","8,03949","120,699"
2940,"10.02.2018 3:59","8,04975","120,77"
2950,"10.02.2018 4:09","7,97398","121,463"
2960,"10.02.2018 4:19","8,10432","119,863"
2970,"10.02.2018 4:29","8,08484","120,508"
2980,"10.02.2018 4:39","8,03022","120,388"
2990,"10.02.2018 4:49","8,06231","119,816"
3000,"10.02.2018 4:59","8,02356","120,245"
3010,"10.02.2018 5:09","8,03646","119,672"
3020,"10.02.2018 5:19","8,00582","120,699"
3030,"10.02.2018 5:29","7,98772","119,696"
3040,"10.02.2018 5:39","8,01998","119,863"
3050,"10.02.2018 5:49","8,05206","121,272"
3060,"10.02.2018 5:59","8,10613","120,938"
3070,"10.02.2018 6:09","8,01966","120,723"
